N,256,512,1024,2048,4096,8192,16384,32768,
Insertion Sort,373,1572,6065,25122,100334,406209,1616269,6433488,
Selection Sort,345,1325,5131,20302,80672,320127,1282002,5135381,
Merge Sort,759,1521,3110,6298,12714,25842,52111,106533,
Quick Sort,63,126,259,608,1223,2830,6088,13425,
Hybrid Merge Sort,116,253,543,1174,2494,5380,11401,25957,
Randomized Quick Sort,76,151,339,731,2111,4505,9823,19507,
Tail Recursive Quick Sort,168,384,813,1719,3592,6013,11462,24169,
