N,256,512,1024,2048,4096,8192,16384,32768,65536,131072,262144,524288,1048576,
Insertion Sort,1,3,6,11,23,47,100,189,422,1000,1589,3077,6400,
Selection Sort,225,784,2861,11391,45054,180641,703564,2809167,11260208,45060883,179992178,719797287,2900444250,
Merge Sort,426,868,1738,3431,6938,14082,28911,58726,118726,238016,476451,962041,1975879,
Quick Sort,19,39,85,185,434,1332,2260,3987,9155,18460,38728,84099,174958,
Hybrid Merge Sort,34,75,168,362,883,1622,4264,7809,17395,37893,79044,169528,356437,
Randomized Quick Sort,40,74,160,346,732,1608,3249,8360,14663,31108,61648,129807,268799,
Tail Recursive Quick Sort,84,162,354,670,1086,2263,4794,10250,22938,47521,99044,210843,432623,
